1101040697,DVD- видеокамера HITAHCI inspire the Next
0001360114,Ethernet 10/100 Mbps Switch 16 port Compex  PS2216
0001380039,TV Голдстар
,UPS (Ippon Back Power)
0001380081,Аппарат копировальный Canon 860
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
,Беспроводная точка доступа D-link
11010401080,Беспроводная точка доступа D-link
11010401081,Беспроводная точка доступа D-link
11010401082,Беспроводная точка доступа D-link
,Беспроводной сетевой адаптер D-Link
,Брошюровщик Fellowes Star
0001380084,"Видеокамера ""Панасоник"""
,Декоративный светильник(чаша огня)
1101040941,Динамик
,Доска аудиторная
,Доска аудиторная(маркерная)
0001630554,Доска фламастер. магнитная
,Жалюзи вертикальные
,Жалюзи вертикальные
,"Жалюзи горизонтальные 1,40*0,90"
,ИБП Ippon Back Offise 600
,ИБП Ippon Back Power Pro 500
,ИБП Ippon Back Power Pro 500
,ИБП Ippon Back Power Pro 500
,ИБП Ippon Back Power Pro 500
,ИБП Ippon Back Power Pro 500
,ИБП Ippon Back Power Pro 500
,ИБП Ippon Back Power Pro 500
,ИБП Ippon Back Power Pro 500
,ИБП Ippon Back Power Pro 500
,ИБП Ippon Back Power Pro 500
,ИБП Ippon Back Power Pro 500
1101040906,Интерактивная доска InterWrite Board
,Источник бесперебойного питания
,Источник бесперебойного питания
11010401083,Источник бесперебойного питания
1101040846,Источник бесперебойного питания (UPS APC)
,Источник бесперебойного питания UPS
,Источник питания  UPS Ippon Back
,Источник питания UPS Ippon Back
1101040911,Источник питания UPS Ippon Smart Power
,Коммутатор
1101040801,Коммутатор
1101040847,Коммутатор
,Коммутатор 16 Port
1101040913,Коммутатор Baseline
,Коммутатор D-link
,Коммутатор D-link
,Коммутатор D-link
11010401064,Коммутатор D-Link 48-Port
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1005А 5х100/100ТХ неуправляемы компактное исполнение
,Коммутатор D-Link DES-1016А неупр 16-port UTR 10/100Mbps Auto-sensig
11010601440,Коммутатор D-Link DGS-1016A/A1A
1101040910,Комплекс программ д/л создания мультимедиа (комплект)
0001360001,Компьютер
1101040922,Компьютер
1101040923,Компьютер
1101040924,Компьютер
1101040925,Компьютер
1101040926,Компьютер
1101040927,Компьютер
1101040928,Компьютер
1101040929,Компьютер
1101040930,Компьютер
1101040931,Компьютер
1101040932,Компьютер
1101040933,Компьютер
1101040934,Компьютер
1101040935,Компьютер
1101040936,Компьютер
1101040892,Компьютер ASUSTek
2101040900,Компьютер Cel 2D
11010401054,Компьютер в сборе
11010401055,Компьютер в сборе
11010401056,Компьютер в сборе
11010401057,Компьютер в сборе
11010401058,Компьютер в сборе
11010401059,Компьютер в сборе
1101040978,Компьютер в сборе
1101040985,Компьютер в сборе
1101040986,Компьютер в сборе
1101040988,Компьютер в сборе
11010601199,Компьютер в сборе
11010601200,Компьютер в сборе
11010601201,Компьютер в сборе
11010601202,Компьютер в сборе
21010401047,Компьютер в сборе
1101040945,Компьютер в сборе Intel
1101040793,Компьютер персональный Pentium 4
11010401039,Кондиционер ELECTROLUX
0001380166,Контактный факс с копиром Панасоник
1101040881,Копировальный аппарат Canon IR 2016
1101040750,Копировальный аппарат Xerox C118
,"Кресло ""Престиж"" Укр"
,Кронштейн Кromax PROJEKTOR-100
1101060793,Кронштейное устройство для проектора
1101040737,Лазерный принтер НР LJ 1020
2101040899,Лазерный факс Panasonic KX-FL 403
,Ламинатор Prolamic BL 331
,Маршрутизатор Zyxel 4 порта 10/100 BASE
,Маршрутизатор Zyxel(KEENETIC LITE) 4 порта 10/100 BASE
,Модем Acorp56Kbs Voice Serial (COM)
0001360002м,Монитор
0001360043м,Монитор
2101040773,Монитор (01360047)
11010401023,Монитор (11010401000)
11010401024,Монитор (11010401001)
11010401025,Монитор (11010401002)
11010401013,Монитор (1101040990)
11010401014,Монитор (1101040991)
11010401015,Монитор (1101040992)
11010401016,Монитор (1101040993)
11010401017,Монитор (1101040994)
11010401018,Монитор (1101040995)
11010401019,Монитор (1101040996)
11010401020,Монитор (1101040997)
11010401021,Монитор (1101040998)
11010401022,Монитор (1101040999)
,"Монитор 15""LG575 NTCO"
0001360062,"Монитор 17"" LG Flatron"
0001360064,"Монитор 17"" LG Flatron"
0001360091,"Монитор 17"" Самтрон76е"""
1101040727,"Монитор 17""Benq FP71G+TFT"
0001360122,"Монитор 17""LG Flatron"
0001360123,"Монитор 17""LG Flatron"
0001360124,"Монитор 17""LG Flatron"
0001360125,"Монитор 17""LG Flatron"
0001360126,"Монитор 17""LG Flatron"
0001360127,"Монитор 17""LG Flatron"
0001360128,"Монитор 17""LG Flatron"
0001360129,"Монитор 17""LG Flatron"
0001360130,"Монитор 17""LG Flatron"
0001360131,"Монитор 17""LG Flatron"
0001360132,"Монитор 17""LG Flatron"
0001360133,"Монитор 17""LG Flatron"
0001360134,"Монитор 17""LG Flatron"
0001360135,"Монитор 17""LG Flatron"
1101040979,"Монитор 19 ""LG Flatron"""
,Монитор Samtron
0001360094,Монитор TFT LG 171 S
0001360097,Монитор TFT LG 171 S
11010601245,Моноблок Lenovo B 320i3-2100/3G/1TB/ATI6450
1101040938,Мультимедийное оборудование
2101040898,МФУ HP Laser Jet 1005
11010601433,МФУ Samsung лазерный SCX-3400/XEV
1101040907,МФУ Xerox Phaser 3200
11010601438,МФУ копир-принтер SHARP AR 5618
1101040891,МФУ лазерное HP Laser Jet
1101040980,МФУ лазерное HP LJ
1101040981,МФУ лазерное HP LJ
1101040982,МФУ лазерное HP LJ
11010401003,Ноутбук Acer Extensa
11010401004,Ноутбук Acer Extensa
11010401005,Ноутбук Acer Extensa
1101040908,Ноутбук Acer Extensa
1101040844,Ноутбук ASUSTeK
1101040890,Ноутбук IBM Lenovo
0001380075,Оборудование для доступа в Интернет
11010601349,Персональный компьютер
11010601347,"Персональный компьютер(сист.блок,процессор Intel G850,оперативная память 2 Gb,жесткий диск 500GB)"
11010601348,"Персональный компьютер(сист.блок,процессор Intel G850,оперативная память 2 Gb,жесткий диск 500GB)"
1101040866,ПК Averion
1101040902,ПК Helios Profice VLX 310
11010601244,Планшет Acer ICONIA W500
11010601437,Планшет Apple iPad4 32 GB
1101040914,Плоттер HP DesignJet
,Подставка под системный блок
0001360098,Портативный компьютер  Rover Book Nautilus B500L
1101040746,Портативный компьютер Samsung Q35
1101040909,Прикладное програмное обеспечение DiplomMaster VID2.0
1101040749,Принтер Canon LBP - 2900
2101040901,Принтер HP Laser Jet 1005
11010401011,Принтер HP LaserJet 2050
0001360120,Принтер HP LaserJet 5100
1101040880,Принтер HP LaserJet 5200
1101040842,Принтер hp LaserJet P2015
2101040816,Принтер HP-1020
2101040818,Принтер HP-1020
2101040819,Принтер HP-1020
,Принтер Laser Jet P1505
1101040748,Принтер Samsung ML-2015
11010401060,Принтер Samsung лазерный ML-1660/XEV A4
2101040948,Принтер лазерный HP LaserJet P1005
1101040989,Принтер лазерный HP LJ P1005
0001360110,Принтер лазерный Samsung ML 1210P
1101040703,"Принтер НР 1020(лазерный, формат А4)"
,Принтер НР Officejet 6000 E 609a(CBO51A)
1101040822,Принтер НР-1020
1101040823,Принтер НР-1020
2101040820,Принтер НР-1020
2101040821,Принтер НР-1020
1101040983,Принтер струйный Epson Stylus R 1900
1101040903,Принтер цветной С5850n
11010601267,Проектор Acer X1210
11010601268,Проектор Acer X1210
11010601269,Проектор Acer X1210
11010401089,Проектор Acer X1211
1101040905,Проектор Infocus X15
11010601196,Проектор Viewsonic PJD5122 DLP
11010601197,Проектор Viewsonic PJD5122 DLP
11010601198,Проектор Viewsonic PJD5122 DLP
0001380079,Проектор Wiev Sonic PJ 551
,Проекционный экран
,Проекционный экран
,Проекционный экран
,Пылесос LG VC 3050 FVD
1101040685,Радиоузел INTER M SYS-2240
1101040917,Резак Cutstream HQ 361
0001380069,Ризограф
0001360069,Самсунг лазерный принтер ML-1210
,Свич 8 портов
,Сейф
1101040783,"Сервер AVERION(2*xeon 5030, 1024Mb, RAID0/1, 2*160Gb, FDD ext)"
1101040918,Сервер Intel 3000/2GB
1101040848,Сервер Proliant
1101040849,Сервер Proliant
11010401084,Сервер в сборе DUAL XEON
11010401067,Сервер в сборе DUAL XEON корпус Краулер
0001360137,Сетевое оборудование
1101040792,"Система тестирования и голосования ACTIVote на 16 человек, планшет ACTIVtablet"
0001360034с,Системный блок
0001360052с,Системный блок
0001360054с,Системный блок
0001360055с,Системный блок
0001360093с,Системный блок
1101040943,Системный блок
1101040944,Системный блок
1101040705,"Системный блок ""Averion"""
1101040709,"Системный блок ""Averion"""
0001360082,"Системный блок ""Аверон-LITE"""
0001360083,"Системный блок ""Аверон-Стандарт"""
0001360084,"Системный блок ""Аверон-Стандарт"""
0001360087,"Системный блок ""Аверон-Стандарт"""
0001360089,"Системный блок ""Аверон-Стандарт"""
0001360099,"Системный блок ""Аверон-Стандарт"""
0001360100,"Системный блок ""Аверон-Стандарт"""
0001360102,"Системный блок ""Аверон-Стандарт"""
0001360103,"Системный блок ""Аверон-Стандарт"""
0001360067,"Системный блок ""Аверон"""
0001360066,"Системный блок ""Аверон""(Р240/д"
11010401036,Системный блок (11010401000)
11010401037,Системный блок (11010401001)
11010401038,Системный блок (11010401002)
11010401026,Системный блок (1101040990)
11010401027,Системный блок (1101040991)
11010401028,Системный блок (1101040992)
11010401029,Системный блок (1101040993)
11010401030,Системный блок (1101040994)
11010401031,Системный блок (1101040995)
11010401032,Системный блок (1101040996)
11010401033,Системный блок (1101040997)
11010401034,Системный блок (1101040998)
11010401035,Системный блок (1101040999)
0001360141,Системный блок Cel
0001360147,Системный блок Cel
0001360149,Системный блок Cel
0001360154,Системный блок Cel
0001360155,Системный блок Cel
1101040782,Системный блок Core2Duo
0001360107,Системный блок в сборе АМД
,Сканер Canon CanoScan LIDE 110
,Сканер Canon CfnoScan LIDE
1101040904,Сканер Canon DR-2580C
11010401090,Сканер Epson Prefektion V330 Photo(CCD/.A4 Color./4800dpi/Usb 2.0)
11010401091,Сканер HP Scan Jet 3670
,Сканер Mustek Paw 2448
0001360105,Сканер планшетный Epson Prefektion 1670
,Стабилизатор напряжения Ippon AVR-1000 1000VA
,Стол А006
,Стол компьютерный У009
,Стол под копировальный аппарат
,Стол У009
1101060956,Стол угловой
1101060875,Стол учителя компьютерный
0001630070,Стул Примьер
,Стул Скиф м
,Стул стандарт
,Стул ученический
,Стул ученический
1101040987,Субноутбук Acer
,Сумка для ноутбука Sumdex NON-832BK
11010401110,Телевизор LG + кронштейн черн.глянец
,Телефонный аппарат
,Точка доступа D-Link
,Точка доступа D-Link DAP-1150/RU
0001360112,Устройство для сети
1101040851,Устройство крепления проектора
1101040984,Фотоаппарат Panasonic
11010601373,Цветной лазерный принтер Xerox 6130
1101040885,Цифровая видеокамера SONY DCR-SR220E
,Чехол д/л бас гитары утепл.
11010601246,Широкоформатный плоттер Canon iPF710
11010601362,Шкаф 1300*700*2000 ольха с замками
,Штатив для цифровой камеры
,Экран настенный ScreenMedia
